date,start_time,block_type,repeat_end_date,notes,duration_minutes,client,is_unassigned,employee,repeat_frequency,recurrence_group_id,package_source,id,created_date,updated_date,created_by_id,created_by,is_sample
"2026-04-20","09:00","Social Media Editing Block","","","180","69d3590666100092a3240272","false","69d24e4e2711543c1a4d5c4b","Fortnightly","","Momentum","69d76e14820817e63e6a5a9b","2026-04-09T09:15:00.736000","2026-04-09T09:15:00.736000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-04-20","09:00","Social Media Filming Block","","","120","69d3590666100092a3240272","false","69d71f573d8a40c016bdf49d","Fortnightly","","Momentum","69d76e145dca769e056bfb3a","2026-04-09T09:15:00.248000","2026-04-09T09:15:00.248000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-04-13","09:00","Scheduling Block","","","20","69d3590666100092a3240272","false","69d24e4e2711543c1a4d5c45","Weekly","","Momentum","69d76e13d5e6823e5c803d8e","2026-04-09T09:14:59.951000","2026-04-09T09:14:59.951000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-03-23","09:00","Scheduling Block","","","20","69d3590666100092a3240272","false","69d24e4e2711543c1a4d5c45","Weekly","","Momentum","69d76e13401edf411ec84a7c","2026-04-09T09:14:59.914000","2026-04-09T09:14:59.914000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-03-30","09:00","Scheduling Block","","","20","69d3590666100092a3240272","false","69d24e4e2711543c1a4d5c45","Weekly","","Momentum","69d76e13d793a34623acffae","2026-04-09T09:14:59.868000","2026-04-09T09:14:59.868000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-04-06","09:00","Scheduling Block","","","20","69d3590666100092a3240272","false","69d24e4e2711543c1a4d5c45","Weekly","","Momentum","69d76e13d83c77a0c75cd657","2026-04-09T09:14:59.846000","2026-04-09T09:14:59.846000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-03-16","09:00","Strategy Meeting","","","30","69d3590666100092a3240272","true","","Monthly","","Momentum","69d76e11a5ef95c68b73e775","2026-04-09T09:14:57.944000","2026-04-09T09:14:57.944000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-03-23","09:00","Video Send-off Block","","","15","69d3590666100092a3240272","false","69d24e4e2711543c1a4d5c45","Weekly","","Momentum","69d76e11f9238266c5bb876b","2026-04-09T09:14:57.914000","2026-04-09T09:14:57.914000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-04-06","09:00","Video Send-off Block","","","15","69d3590666100092a3240272","false","69d24e4e2711543c1a4d5c45","Weekly","","Momentum","69d76e1143bc96534adb3e5e","2026-04-09T09:14:57.872000","2026-04-09T09:14:57.872000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-04-13","09:00","Video Send-off Block","","","15","69d3590666100092a3240272","false","69d24e4e2711543c1a4d5c45","Weekly","","Momentum","69d76e11383fcdf90a1d49b9","2026-04-09T09:14:57.850000","2026-04-09T09:14:57.850000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-03-30","09:00","Video Send-off Block","","","15","69d3590666100092a3240272","false","69d24e4e2711543c1a4d5c45","Weekly","","Momentum","69d76e11c2928e1a610c3ca1","2026-04-09T09:14:57.842000","2026-04-09T09:14:57.842000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-03-16","09:00","Content Planning Block","","","90","69d3590666100092a3240272","true","","Monthly","","Momentum","69d76e113a94578876cd50ef","2026-04-09T09:14:57.389000","2026-04-09T09:14:57.389000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-04-06","09:00","Social Media Editing Block","","","180","69d3590666100092a3240272","false","69d24e4e2711543c1a4d5c4b","Fortnightly","","Momentum","69d76e11b720eb64ad318a5d","2026-04-09T09:14:57.382000","2026-04-09T09:14:57.382000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-04-06","09:00","Social Media Filming Block","","","120","69d3590666100092a3240272","false","69d71f573d8a40c016bdf49d","Fortnightly","","Momentum","69d76e110134f3667935a459","2026-04-09T09:14:57.345000","2026-04-09T09:14:57.345000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-03-23","09:00","Social Media Editing Block","","","180","69d3590666100092a3240272","false","69d24e4e2711543c1a4d5c4b","Fortnightly","","Momentum","69d76e114601b52613ac9dc3","2026-04-09T09:14:57.322000","2026-04-09T09:14:57.322000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-03-23","09:00","Social Media Filming Block","","","120","69d3590666100092a3240272","false","69d71f573d8a40c016bdf49d","Fortnightly","","Momentum","69d76e11cd164ab36e8ab390","2026-04-09T09:14:57.315000","2026-04-09T09:14:57.315000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-05-18","09:00","Scheduling Block","","","10","69d3590666100092a3240278","false","69d24e4e2711543c1a4d5c45","Weekly","","Werribee Automotive Group SOCIALS","69d76e11ef21540821c98cd2","2026-04-09T09:14:57.163000","2026-04-09T09:14:57.163000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
"2026-05-11","09:00","Scheduling Block","","","10","69d3590666100092a3240278","false","69d24e4e2711543c1a4d5c45","Weekly","","Werribee Automotive Group SOCIALS","69d76e10ee1e7f4f7a67969c","2026-04-09T09:14:56.599000","2026-04-09T09:14:56.599000","service_8b4e6330-f72e-472c-8717-aa845a7a9be2","service+8b4e6330-f72e-472c-8717-aa845a7a9be2@no-reply.base44.com","false"
